[main] 2020-08-18 11:37:39.812 INFO  >>> springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
[main] 2020-08-18 11:37:39.854 INFO  >>> springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
[main] 2020-08-18 11:37:41.451 INFO  >>> com.zte.common.config.InitDataSource - 正在连接数据库。。。
[main] 2020-08-18 11:37:41.859 INFO  >>> com.zte.common.config.InitDataSource - 连接数据库完成
[main] 2020-08-18 11:37:41.940 INFO  >>> com.zte.common.config.InitRedis - redis连接成功
[main] 2020-08-18 11:37:41.941 INFO  >>> com.zte.dao.ServiceTest - Started ServiceTest in 8.247 seconds (JVM running for 10.023)
[main] 2020-08-18 12:14:49.307 INFO  >>> com.zte.Application - Starting Application on 7TAV70GMCNQG825 with PID 19356 (C:\yswwork\svnproject\wenlv\wenlv\target\classes started by Administrator in C:\yswwork\svnproject\wenlv\wenlv)
[main] 2020-08-18 12:14:49.311 INFO  >>> com.zte.Application - The following profiles are active: dev
[background-preinit] 2020-08-18 12:14:49.611 INFO  >>> org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.4.Final
[main] 2020-08-18 12:14:50.975 INFO  >>> org.apache.catalina.core.StandardService - Starting service Tomcat
[main] 2020-08-18 12:14:50.976 INFO  >>> org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.5
[localhost-startStop-1] 2020-08-18 12:14:51.152 INFO  >>> org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
[localhost-startStop-1] 2020-08-18 12:14:51.155 INFO  >>> org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/wenlv/rest] - Initializing Spring embedded WebApplicationContext
[main] 2020-08-18 12:14:52.562 INFO  >>> springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
[main] 2020-08-18 12:14:53.054 INFO  >>> springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
[main] 2020-08-18 12:14:53.070 INFO  >>> springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
[main] 2020-08-18 12:14:53.094 INFO  >>> springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
[main] 2020-08-18 12:14:53.519 INFO  >>> org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8092"]
[main] 2020-08-18 12:14:53.531 INFO  >>> org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler [http-nio-8092]
[main] 2020-08-18 12:14:53.544 INFO  >>> org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
[main] 2020-08-18 12:14:53.575 INFO  >>> com.zte.common.config.InitDataSource - 正在连接数据库。。。
[main] 2020-08-18 12:14:53.883 INFO  >>> com.zte.common.config.InitDataSource - 连接数据库完成
[main] 2020-08-18 12:14:53.924 INFO  >>> com.zte.common.config.InitRedis - redis连接成功
[main] 2020-08-18 12:14:53.924 INFO  >>> com.zte.Application - Started Application in 4.978 seconds (JVM running for 6.307)
[main] 2020-08-18 12:38:57.632 INFO  >>> com.zte.Application - Starting Application on 7TAV70GMCNQG825 with PID 14716 (C:\yswwork\svnproject\wenlv\wenlv\target\classes started by Administrator in C:\yswwork\svnproject\wenlv\wenlv)
[main] 2020-08-18 12:38:57.636 INFO  >>> com.zte.Application - The following profiles are active: dev
[background-preinit] 2020-08-18 12:38:58.126 INFO  >>> org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.4.Final
[main] 2020-08-18 12:38:59.713 INFO  >>> org.apache.catalina.core.StandardService - Starting service Tomcat
[main] 2020-08-18 12:38:59.714 INFO  >>> org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.5
